Date Time,Consumption [kW],Generator [kW],Heater [KW],Office [kW],AC [kW],Motor pump [kW],Solar [kW],temperature
1574274772,1.131570249,0.00351575,0.0729594,0.0446684,0.005562917,0.032668533,0.003522584,36.2142
1574274773,1.027730409,0.00351575,0.07292505,0.0445652,0.005511567,0.0328412,0.003522584,36.2142
1574274774,0.703217596,0.00351575,0.072736125,0.0445136,0.005425983,0.032910267,0.003522584,36.06075
1574274775,0.378775786,0.00355005,0.0724785,0.0450296,0.005254817,0.032962067,0.00355695,36.06075
1574274776,0.379326048,0.0035329,0.072461325,0.044806,0.00528905,0.033013867,0.003539766,36.06075
1574274777,0.37854503,0.00355005,0.0724098,0.0447372,0.005665617,0.032979333,0.00355695,36.06075
1574274778,0.376840992,0.0035329,0.072392625,0.0447372,0.005271933,0.033031133,0.003539766,36.06075
1574274779,0.390846057,0.00355005,0.0724785,0.0563988,0.005271933,0.032979333,0.00355695,36.06075
1574274780,0.405046378,0.0035329,0.07237545,0.07267,0.0052377,0.032927533,0.003539766,36.06075
1574274781,0.406537412,0.00355005,0.072598725,0.0715176,0.0052377,0.032927533,0.00355695,36.06075
1574274782,0.410211744,0.00355005,0.0726846,0.0747856,0.0056485,0.0329966,0.00355695,36.06075
1574274783,0.4592916,0.0035329,0.072736125,0.097954,0.005254817,0.033031133,0.003539766,36.06075
1574274784,0.567480288,0.0035329,0.072770475,0.0926392,0.005306167,0.0329966,0.003539766,36.06075
1574274785,0.75396599,0.0035329,0.0730281,0.0897152,0.005357517,0.032910267,0.003539766,36.06075
1574274786,1.221351772,0.0034986,0.0734403,0.0877888,0.005562917,0.032893,0.0035054,36.06075
1574274787,1.220872512,0.0035329,0.073388775,0.0873072,0.005973717,0.032858467,0.003539766,36.06075
1574274788,1.21499713,0.0034986,0.073251375,0.0826804,0.005562917,0.032858467,0.0035054,36.06075
1574274789,1.176709517,0.0035329,0.07340595,0.0815624,0.005528683,0.032858467,0.003539766,36.06075
1574274790,1.069834359,0.00351575,0.073217025,0.0783976,0.005511567,0.032720333,0.003522584,36.06075
1574274791,0.742800989,0.0035329,0.0730281,0.0811324,0.005408867,0.032893,0.003539766,36.06075
1574274792,0.427039124,0.00355005,0.072770475,0.079292,0.0056485,0.0329966,0.00355695,36.06075
1574274793,0.420666729,0.0035672,0.0727533,0.082216,0.005271933,0.032962067,0.003574134,36.06075
1574274794,0.615885628,0.00351575,0.094376625,0.073874,0.150027583,0.032979333,0.003522584,36.06075
1574274795,0.664894483,0.0035329,0.10095465,0.0805648,0.175445833,0.032893,0.003539766,36.06075
1574274796,0.890821574,0.0035329,0.436914825,0.077228,0.092087667,0.032927533,0.003539766,36.06075
1574274797,0.870071357,0.00358435,0.5174484,0.0789136,0.011177183,0.0329966,0.003591316,36.06075
1574274798,0.847670352,0.00355005,0.51514695,0.0686452,0.005374633,0.0330484,0.00355695,36.06075
1574274799,0.846818333,0.0035672,0.5130516,0.0683528,0.004912483,0.033013867,0.003574134,36.06075
1574274800,0.9119623,0.00355005,0.511351275,0.0695396,0.004946717,0.033013867,0.00355695,36.06075
1574274801,1.026967143,0.0035672,0.510320775,0.0673724,0.00498095,0.032979333,0.003574134,36.06075
1574274802,1.481661389,0.00355005,0.50559765,0.0733924,0.005580033,0.032858467,0.00355695,36.06075
1574274803,1.623504835,0.0034986,0.50333055,0.0665296,0.0052377,0.032823933,0.0035054,36.06075
1574274804,1.623451584,0.0035329,0.502763775,0.066392,0.005271933,0.032823933,0.003539766,36.06075
1574274805,1.630729248,0.0035329,0.501836325,0.0735816,0.0052377,0.0328412,0.003539766,36.06075
1574274806,1.557828356,0.0035329,0.50113215,0.0821816,0.005220583,0.032754867,0.003539766,36.06075
1574274807,1.49905678,0.00355005,0.500393625,0.0823536,0.00559715,0.0328412,0.00355695,36.06075
1574274808,0.964947244,0.0035672,0.504258,0.0830244,0.004963833,0.0329966,0.003574134,36.06075
1574274809,0.931256986,0.0035672,0.504790425,0.0825084,0.004895367,0.122213467,0.003574134,36.06075
1574274810,0.888141264,0.0035329,0.504137775,0.068542,0.004895367,0.0931882,0.003539766,36.06075
1574274811,0.833274778,0.0035329,0.503072925,0.0659448,0.004912483,0.0329448,0.003539766,36.06075
1574274812,0.833221526,0.0035672,0.502626375,0.0680088,0.004912483,0.032927533,0.003574134,36.06075
1574274813,0.838919405,0.0035672,0.502523325,0.0675272,0.008849317,0.033065667,0.003574134,36.06075
1574274814,0.829582694,0.0035672,0.5020596,0.0654288,0.0049296,0.033013867,0.003574134,36.06075
1574274815,0.832369507,0.0035672,0.502523325,0.0653256,0.0049296,0.033013867,0.003574134,36.06075
1574274816,0.901205558,0.0035329,0.502008075,0.06536,0.0592579,0.033013867,0.003539766,36.06075
1574274817,1.014044851,0.00358435,0.501458475,0.0652052,0.1473745,0.0330484,0.003591316,36.06075
1574274818,1.066284278,0.00355005,0.501149325,0.065102,0.141640417,0.033013867,0.00355695,36.06075
1574274819,1.17862656,0.00358435,0.50078865,0.065016,0.140716117,0.032979333,0.003591316,36.06075
1574274820,1.700772326,0.0035329,0.4967697,0.0648096,0.1401855,0.032806667,0.003539766,36.06075
1574274821,1.801363843,0.0035329,0.495515925,0.0648784,0.14013415,0.0327376,0.003539766,36.06075
1574274822,1.790216592,0.00355005,0.4954644,0.0648956,0.139346783,0.0328412,0.00355695,36.06075
1574274823,1.751733724,0.00355005,0.495206775,0.0646204,0.139072917,0.0328412,0.00355695,36.06075
1574274824,1.64455681,0.0035329,0.49474305,0.0645172,0.138781933,0.032806667,0.003539766,36.06075
1574274825,1.320061748,0.00355005,0.497508225,0.0559172,0.136762167,0.032875733,0.00355695,36.06075
1574274826,0.97272192,0.00355005,0.499191375,0.0450296,0.1332019,0.032962067,0.00355695,36.06075
1574274827,0.970201364,0.00355005,0.499122675,0.0452016,0.131456,0.0329448,0.00355695,36.06075
1574274828,0.967237046,0.0035672,0.498607425,0.044978,0.1302236,0.0329966,0.003574134,36.06075
1574274829,0.966615782,0.0035672,0.4986246,0.045064,0.12955605,0.032927533,0.003574134,36.06075
1574274830,0.966367277,0.00355005,0.498366975,0.0449952,0.12945335,0.032979333,0.00355695,36.06075
1574274831,0.96695304,0.00355005,0.4990368,0.0450296,0.1286831,0.0330484,0.00355695,36.06075
1574274832,0.96384672,0.00355005,0.498057825,0.0449608,0.128032667,0.032962067,0.00355695,36.30627
1574274833,0.964112976,0.00355005,0.4986246,0.0453048,0.127690333,0.0329448,0.00355695,36.30627
1574274834,0.96251544,0.0035672,0.498401325,0.0450124,0.127279533,0.033031133,0.003574134,36.30627
1574274835,0.963633715,0.0035329,0.497920425,0.0449436,0.127416467,0.0329448,0.003539766,36.30627
1574274836,0.963864471,0.00355005,0.498195225,0.0450124,0.126902967,0.0330484,0.00355695,36.30627
1574274837,0.962568691,0.0035672,0.49797195,0.0449952,0.126509283,0.033013867,0.003574134,36.30627
1574274838,1.027872413,0.0035672,0.50758995,0.044978,0.126098483,0.032858467,0.003574134,36.30627
1574274839,1.018979463,0.0036015,0.46334715,0.0449436,0.1259102,0.0329448,0.0036085,36.30627
1574274840,1.001779325,0.0036015,0.44383635,0.0449264,0.126235417,0.032875733,0.0036085,36.30627
1574274841,0.62706838,0.0035672,0.0414261,0.0447716,0.125875967,0.032893,0.003574134,36.30627
1574274842,0.716867654,0.0036015,0.021795075,0.0446856,0.125567867,0.032893,0.0036085,36.30627
1574274843,0.862616189,0.0035672,0.022035525,0.0446512,0.125362467,0.032875733,0.003574134,36.30627
1574274844,1.363603478,0.0035672,0.022859925,0.0442556,0.1251913,0.032893,0.003574134,36.30627
1574274845,1.361846189,0.0035329,0.02284275,0.0444448,0.125533633,0.032720333,0.003539766,36.30627
1574274846,1.231096742,0.00355005,0.022619475,0.0443072,0.124848967,0.0327376,0.00355695,36.30627
1574274847,0.981810125,0.00355005,0.022413375,0.0444104,0.029389317,0.032754867,0.00355695,36.30627
1574274848,0.482118614,0.00358435,0.09346635,0.0448404,0.005220583,0.032893,0.003591316,36.30627
1574274849,0.454978253,0.0035672,0.068339325,0.044978,0.005254817,0.032806667,0.003574134,36.30627
1574274850,0.497383959,0.00358435,0.110589825,0.0448748,0.005614267,0.032823933,0.003591316,36.30627
1574274851,0.484674672,0.0035672,0.11696175,0.0449264,0.005220583,0.0328412,0.003574134,36.30627
1574274852,0.458918842,0.0035329,0.1536819,0.0448748,0.00518635,0.0329966,0.003539766,36.30627
1574274853,0.815311372,0.00355005,0.508294125,0.0450468,0.004912483,0.032962067,0.00355695,36.30627
1574274854,0.761190404,0.00355005,0.45579015,0.0449608,0.004963833,0.0329966,0.00355695,36.30627
1574274855,0.631346227,0.0035329,0.3246075,0.0449608,0.00549445,0.032979333,0.003539766,36.30627
1574274856,0.32571984,0.0034986,0.021417225,0.0447544,0.005271933,0.033031133,0.0035054,36.30627
1574274857,0.323802796,0.0034986,0.021417225,0.0447544,0.005306167,0.0329448,0.0035054,36.30627
1574274858,0.323323536,0.00351575,0.0213657,0.0447544,0.00528905,0.033065667,0.003522584,36.30627
1574274859,0.32307503,0.0035329,0.021382875,0.0447716,0.005306167,0.033013867,0.003539766,36.30627
1574274860,0.323856048,0.00351575,0.02133135,0.0447372,0.005682733,0.0329966,0.003522584,36.30627
1574274861,0.324637066,0.00348145,0.021348525,0.0447716,0.005306167,0.033065667,0.003488216,36.30627
1574274862,0.407868692,0.0035329,0.104715975,0.044806,0.0052377,0.032910267,0.003539766,36.30627
1574274863,0.502105565,0.00351575,0.093861375,0.0447716,0.00528905,0.0329448,0.003522584,36.30627
1574274864,0.786928483,0.00351575,0.100937475,0.0446684,0.169129783,0.032875733,0.003522584,36.30627
1574274865,1.698500275,0.00351575,0.4329474,0.0444792,0.1748981,0.032772133,0.003522584,36.30627
